date,expiration date,days till exp,adj strike,ask price,bid price,open interest,delta interest,adj ask breakeven,raw ask breakeven,adj bid breakeven,raw bid breakeven,adj closing,adj exp closing
2016-09-13,2017-01-20,93,9.0,3.6,3.3,2933,0,-0.34,-0.34,-0.04,-0.04,5.74,9.75
2016-09-13,2017-01-20,93,10.0,4.5,4.25,158,0,-0.24,-0.24,0.01,0.01,5.74,9.75
2016-09-13,2017-01-20,93,11.0,5.45,5.2,0,0,-0.19,-0.19,0.06,0.06,5.74,9.75
2016-09-13,2017-01-20,93,12.0,6.45,6.15,3,0,-0.19,-0.19,0.11,0.11,5.74,9.75
2016-09-13,2017-01-20,93,13.0,7.4,7.15,0,0,-0.14,-0.14,0.11,0.11,5.74,9.75
2016-09-13,2017-01-20,93,14.0,8.4,8.15,40,0,-0.14,-0.14,0.11,0.11,5.74,9.75
2016-09-13,2017-01-20,93,15.0,9.4,9.15,0,0,-0.14,-0.14,0.11,0.11,5.74,9.75
2016-09-13,2017-04-21,158,1.0,0.09,0.0,0,0,-4.83,-4.83,-4.74,-4.74,5.74,13.0
2016-09-13,2017-04-21,158,2.0,0.14,0.03,4,0,-3.88,-3.88,-3.77,-3.77,5.74,13.0
2016-09-13,2017-04-21,158,2.5,0.0,0.0,0,0,-3.24,-3.24,-3.24,-3.24,5.74,13.0
2016-09-13,2017-04-21,158,3.0,0.24,0.15,15,0,-2.98,-2.98,-2.89,-2.89,5.74,13.0
2016-09-13,2017-04-21,158,4.0,0.49,0.44,1455,0,-2.23,-2.23,-2.18,-2.18,5.74,13.0
2016-09-13,2017-04-21,158,5.0,0.89,0.85,10364,24,-1.63,-1.63,-1.59,-1.59,5.74,13.0
2016-09-13,2017-04-21,158,6.0,1.45,1.39,2562,-10,-1.19,-1.19,-1.13,-1.13,5.74,13.0
2016-09-13,2017-04-21,158,7.0,2.17,1.94,77,0,-0.91,-0.91,-0.68,-0.68,5.74,13.0
2016-09-13,2017-04-21,158,8.0,2.95,2.67,10,0,-0.69,-0.69,-0.41,-0.41,5.74,13.0
2016-09-13,2017-04-21,158,9.0,3.8,3.55,0,0,-0.54,-0.54,-0.29,-0.29,5.74,13.0
2016-09-13,2017-04-21,158,10.0,4.7,4.4,0,0,-0.44,-0.44,-0.14,-0.14,5.74,13.0
2016-09-13,2017-04-21,158,11.0,5.6,5.35,28,0,-0.34,-0.34,-0.09,-0.09,5.74,13.0
2016-09-13,2017-04-21,158,12.0,6.55,6.3,2,0,-0.29,-0.29,-0.04,-0.04,5.74,13.0
2016-09-13,2017-04-21,158,13.0,7.5,7.3,0,0,-0.24,-0.24,-0.04,-0.04,5.74,13.0
2016-09-13,2017-04-21,158,14.0,8.5,8.2,0,0,-0.24,-0.24,0.06,0.06,5.74,13.0
2016-09-13,2017-04-21,158,15.0,9.45,9.2,0,0,-0.19,-0.19,0.06,0.06,5.74,13.0
2016-09-13,2018-01-19,353,0.5,0.03,0.0,66,0,-5.27,-5.27,-5.24,-5.24,5.74,12.59
2016-09-13,2018-01-19,353,1.0,0.13,0.01,197,0,-4.87,-4.87,-4.75,-4.75,5.74,12.59
2016-09-13,2018-01-19,353,1.5,0.11,0.06,3387,0,-4.35,-4.35,-4.3,-4.3,5.74,12.59
2016-09-13,2018-01-19,353,2.0,0.29,0.12,11182,0,-4.03,-4.03,-3.86,-3.86,5.74,12.59
2016-09-13,2018-01-19,353,2.5,0.4,0.2,1439,0,-3.64,-3.64,-3.44,-3.44,5.74,12.59
2016-09-13,2018-01-19,353,3.0,0.44,0.42,650,1,-3.18,-3.18,-3.16,-3.16,5.74,12.59
2016-09-13,2018-01-19,353,3.5,0.64,0.58,403,50,-2.88,-2.88,-2.82,-2.82,5.74,12.59
