date,close,dividend amount
2017-08-01,319.57,0.0
2017-08-02,325.89,0.0
2017-08-03,347.09,0.0
2017-08-04,356.91,0.0
2017-08-07,355.17,0.0
2017-08-08,365.22,0.0
2017-08-09,363.53,0.0
2017-08-10,355.4,0.0
2017-08-11,357.87,0.0
2017-08-14,363.8,0.0
2017-08-15,362.33,0.0
2017-08-16,362.91,0.0
2017-08-17,351.92,0.0
2017-08-18,347.46,0.0
2017-08-21,337.86,0.0
2017-08-22,341.35,0.0
2017-08-23,352.77,0.0
2017-08-24,352.93,0.0
2017-08-25,348.05,0.0
2017-08-28,345.66,0.0
2017-08-29,347.36,0.0
2017-08-30,353.18,0.0
2017-08-31,355.9,0.0
2017-09-01,355.4,0.0
2017-09-05,349.59,0.0
2017-09-06,344.53,0.0
2017-09-07,350.61,0.0
2017-09-08,343.4,0.0
2017-09-11,363.69,0.0
2017-09-12,362.75,0.0
2017-09-13,366.23,0.0
2017-09-14,377.64,0.0
2017-09-15,379.81,0.0
2017-09-18,385.0,0.0
2017-09-19,375.1,0.0
2017-09-20,373.91,0.0
2017-09-21,366.48,0.0
2017-09-22,351.09,0.0
2017-09-25,344.99,0.0
2017-09-26,345.25,0.0
2017-09-27,340.97,0.0
2017-09-28,339.6,0.0
2017-09-29,341.1,0.0
2017-10-02,341.53,0.0
2017-10-03,348.14,0.0
2017-10-04,355.01,0.0
2017-10-05,355.33,0.0
2017-10-06,356.88,0.0
2017-10-09,342.94,0.0
2017-10-10,355.59,0.0
2017-10-11,354.6,0.0
2017-10-12,355.68,0.0
2017-10-13,355.57,0.0
2017-10-16,350.6,0.0
2017-10-17,355.75,0.0
2017-10-18,359.65,0.0
2017-10-19,351.81,0.0
2017-10-20,345.1,0.0
2017-10-23,337.02,0.0
2017-10-24,337.34,0.0
2017-10-25,325.84,0.0
2017-10-26,326.17,0.0
2017-10-27,320.87,0.0
2017-10-30,320.08,0.0
2017-10-31,331.53,0.0
2017-11-01,321.08,0.0
2017-11-02,299.26,0.0
2017-11-03,306.09,0.0
2017-11-06,302.78,0.0
2017-11-07,306.05,0.0
2017-11-08,304.39,0.0
2017-11-09,302.99,0.0
2017-11-10,302.99,0.0
2017-11-13,315.4,0.0
2017-11-14,308.7,0.0
2017-11-15,311.3,0.0
2017-11-16,312.5,0.0
2017-11-17,315.05,0.0
2017-11-20,308.74,0.0
2017-11-21,317.81,0.0
2017-11-22,312.6,0.0
2017-11-24,315.55,0.0
2017-11-27,316.81,0.0
2017-11-28,317.55,0.0
2017-11-29,307.54,0.0
2017-11-30,308.85,0.0
2017-12-01,306.53,0.0
2017-12-04,305.2,0.0
2017-12-05,303.7,0.0
2017-12-06,313.26,0.0
2017-12-07,311.24,0.0
2017-12-08,315.13,0.0
2017-12-11,328.91,0.0
2017-12-12,341.03,0.0
2017-12-13,339.03,0.0
2017-12-14,337.89,0.0
2017-12-15,343.45,0.0
2017-12-18,338.87,0.0
2017-12-19,331.1,0.0
2017-12-20,328.98,0.0
2017-12-21,331.66,0.0
2017-12-22,325.2,0.0
2017-12-26,317.29,0.0
2017-12-27,311.64,0.0
2017-12-28,315.36,0.0
2017-12-29,311.35,0.0
2018-01-02,320.53,0.0
2018-01-03,317.25,0.0
2018-01-04,314.62,0.0
2018-01-05,316.58,0.0
2018-01-08,336.41,0.0
2018-01-09,333.69,0.0
2018-01-10,334.8,0.0
2018-01-11,337.95,0.0
2018-01-12,336.22,0.0
2018-01-16,340.06,0.0
2018-01-17,347.16,0.0
2018-01-18,344.57,0.0
2018-01-19,350.02,0.0
2018-01-22,351.56,0.0
2018-01-23,352.79,0.0
2018-01-24,345.89,0.0
2018-01-25,337.64,0.0
2018-01-26,342.85,0.0
2018-01-29,349.53,0.0
2018-01-30,345.82,0.0
2018-01-31,354.31,0.0
2018-02-01,349.25,0.0
2018-02-02,343.75,0.0
2018-02-05,333.13,0.0
2018-02-06,333.97,0.0
2018-02-07,345.0,0.0
2018-02-08,315.23,0.0
2018-02-09,310.42,0.0
2018-02-12,315.73,0.0
2018-02-13,323.66,0.0
2018-02-14,322.31,0.0
2018-02-15,334.065,0.0
2018-02-16,335.49,0.0
2018-02-20,334.77,0.0
2018-02-21,333.3,0.0
2018-02-22,346.17,0.0
2018-02-23,352.05,0.0
2018-02-26,357.42,0.0
2018-02-27,350.99,0.0
2018-02-28,343.06,0.0
2018-03-01,330.93,0.0
2018-03-02,335.12,0.0
2018-03-05,333.35,0.0
2018-03-06,328.2,0.0
2018-03-07,332.3,0.0
2018-03-08,329.1,0.0
2018-03-09,327.17,0.0
2018-03-12,345.51,0.0
2018-03-13,341.84,0.0
2018-03-14,326.63,0.0
2018-03-15,325.6,0.0
2018-03-16,321.35,0.0
2018-03-19,313.56,0.0
2018-03-20,310.55,0.0
2018-03-21,316.53,0.0
2018-03-22,309.1,0.0
2018-03-23,301.54,0.0
2018-03-26,304.18,0.0
