date,dividend
2000-02-03,0.2830645161290323
2000-02-04,0.28830645161290325
2000-02-07,0.2935483870967742
2000-02-08,0.29879032258064514
2000-02-09,0.3040322580645161
2000-02-10,0.30927419354838714
2000-02-11,0.31451612903225806
2000-02-14,0.31975806451612904
2000-02-15,0.325
2000-02-16,0.005158730158730159
2000-02-17,0.010317460317460317
2000-02-18,0.015476190476190477
2000-02-22,0.020634920634920634
2000-02-23,0.025793650793650792
2000-02-24,0.030952380952380953
2000-02-25,0.03611111111111111
2000-02-28,0.04126984126984127
2000-02-29,0.04642857142857143
2000-03-01,0.051587301587301584
2000-03-02,0.056746031746031746
2000-03-03,0.06190476190476191
2000-03-06,0.06706349206349206
2000-03-07,0.07222222222222222
2000-03-08,0.07738095238095238
2000-03-09,0.08253968253968254
2000-03-10,0.08769841269841269
2000-03-13,0.09285714285714286
2000-03-14,0.09801587301587301
2000-03-15,0.10317460317460317
2000-03-16,0.10833333333333334
2000-03-17,0.11349206349206349
2000-03-20,0.11865079365079365
2000-03-21,0.12380952380952381
2000-03-22,0.12896825396825395
2000-03-23,0.13412698412698412
2000-03-24,0.1392857142857143
2000-03-27,0.14444444444444443
2000-03-28,0.1496031746031746
2000-03-29,0.15476190476190477
2000-03-30,0.1599206349206349
2000-03-31,0.16507936507936508
2000-04-03,0.17023809523809524
2000-04-04,0.17539682539682538
2000-04-05,0.18055555555555558
2000-04-06,0.18571428571428572
2000-04-07,0.1908730158730159
2000-04-10,0.19603174603174603
2000-04-11,0.2011904761904762
2000-04-12,0.20634920634920634
2000-04-13,0.21150793650793653
2000-04-14,0.21666666666666667
2000-04-17,0.22182539682539684
2000-04-18,0.22698412698412698
2000-04-19,0.23214285714285715
2000-04-20,0.2373015873015873
2000-04-24,0.24246031746031746
2000-04-25,0.24761904761904763
2000-04-26,0.25277777777777777
2000-04-27,0.2579365079365079
2000-04-28,0.2630952380952381
2000-05-01,0.26825396825396824
2000-05-02,0.27341269841269844
2000-05-03,0.2785714285714286
2000-05-04,0.2837301587301587
2000-05-05,0.28888888888888886
2000-05-08,0.29404761904761906
2000-05-09,0.2992063492063492
2000-05-10,0.3043650793650794
2000-05-11,0.30952380952380953
2000-05-12,0.3146825396825397
2000-05-15,0.3198412698412698
2000-05-16,0.325
2000-05-17,0.005158730158730159
2000-05-18,0.010317460317460317
2000-05-19,0.015476190476190477
2000-05-22,0.020634920634920634
2000-05-23,0.025793650793650792
2000-05-24,0.030952380952380953
2000-05-25,0.03611111111111111
2000-05-26,0.04126984126984127
2000-05-30,0.04642857142857143
2000-05-31,0.051587301587301584
2000-06-01,0.056746031746031746
2000-06-02,0.06190476190476191
2000-06-05,0.06706349206349206
2000-06-06,0.07222222222222222
2000-06-07,0.07738095238095238
2000-06-08,0.08253968253968254
2000-06-09,0.08769841269841269
2000-06-12,0.09285714285714286
2000-06-13,0.09801587301587301
2000-06-14,0.10317460317460317
2000-06-15,0.10833333333333334
2000-06-16,0.11349206349206349
2000-06-19,0.11865079365079365
2000-06-20,0.12380952380952381
2000-06-21,0.12896825396825395
2000-06-22,0.13412698412698412
2000-06-23,0.1392857142857143
2000-06-26,0.14444444444444443
2000-06-27,0.1496031746031746
2000-06-28,0.15476190476190477
2000-06-29,0.1599206349206349
2000-06-30,0.16507936507936508
2000-07-03,0.17023809523809524
2000-07-05,0.17539682539682538
2000-07-06,0.18055555555555558
2000-07-07,0.18571428571428572
2000-07-10,0.1908730158730159
2000-07-11,0.19603174603174603
2000-07-12,0.2011904761904762
2000-07-13,0.20634920634920634
2000-07-14,0.21150793650793653
